Power,Time,Temperature,Fin Type_Round,Fin Type_Square,Fin Type_Triangular,Configuration_Inline,Configuration_Staggered,PCM_Paraffin,PCM_RT-35,PCM_RT-44
8,88,60.56,0,1,0,0,1,1,0,0
8,90,60.8,0,1,0,0,1,1,0,0
8,0,25.0,0,1,0,0,1,0,1,0
8,2,27.99,0,1,0,0,1,0,1,0
8,4,30.14,0,1,0,0,1,0,1,0
8,6,31.77,0,1,0,0,1,0,1,0
8,8,32.63,0,1,0,0,1,0,1,0
8,10,33.49,0,1,0,0,1,0,1,0
8,12,34.35,0,1,0,0,1,0,1,0
8,14,35.21,0,1,0,0,1,0,1,0
8,16,35.81,0,1,0,0,1,0,1,0
8,18,36.33,0,1,0,0,1,0,1,0
8,20,36.93,0,1,0,0,1,0,1,0
8,22,37.53,0,1,0,0,1,0,1,0
8,24,38.05,0,1,0,0,1,0,1,0
8,26,38.56,0,1,0,0,1,0,1,0
8,28,38.91,0,1,0,0,1,0,1,0
8,30,39.59,0,1,0,0,1,0,1,0
8,32,41.4,0,1,0,0,1,0,1,0
8,34,43.8,0,1,0,0,1,0,1,0
8,36,45.78,0,1,0,0,1,0,1,0
8,38,47.76,0,1,0,0,1,0,1,0
8,40,49.56,0,1,0,0,1,0,1,0
8,42,51.28,0,1,0,0,1,0,1,0
8,44,52.91,0,1,0,0,1,0,1,0
8,46,54.38,0,1,0,0,1,0,1,0
8,48,55.84,0,1,0,0,1,0,1,0
8,50,57.13,0,1,0,0,1,0,1,0
8,52,58.41,0,1,0,0,1,0,1,0
8,54,59.45,0,1,0,0,1,0,1,0
8,56,60.56,0,1,0,0,1,0,1,0
8,58,61.59,0,1,0,0,1,0,1,0
8,60,62.63,0,1,0,0,1,0,1,0
8,62,63.48,0,1,0,0,1,0,1,0
8,64,64.43,0,1,0,0,1,0,1,0
8,66,65.2,0,1,0,0,1,0,1,0
8,68,66.06,0,1,0,0,1,0,1,0
8,70,66.75,0,1,0,0,1,0,1,0
8,72,67.44,0,1,0,0,1,0,1,0
8,74,68.13,0,1,0,0,1,0,1,0
8,76,68.73,0,1,0,0,1,0,1,0
8,78,69.24,0,1,0,0,1,0,1,0
8,80,69.84,0,1,0,0,1,0,1,0
8,82,70.45,0,1,0,0,1,0,1,0
8,84,70.96,0,1,0,0,1,0,1,0
8,86,71.48,0,1,0,0,1,0,1,0
8,88,71.91,0,1,0,0,1,0,1,0
8,90,72.34,0,1,0,0,1,0,1,0
8,0,25.0,0,1,0,0,1,0,0,1
8,2,28.25,0,1,0,0,1,0,0,1
8,4,31.17,0,1,0,0,1,0,0,1
8,6,34.01,0,1,0,0,1,0,0,1
8,8,36.41,0,1,0,0,1,0,0,1
8,10,38.48,0,1,0,0,1,0,0,1
8,12,40.11,0,1,0,0,1,0,0,1
8,14,41.14,0,1,0,0,1,0,0,1
8,16,41.83,0,1,0,0,1,0,0,1
8,18,42.43,0,1,0,0,1,0,0,1
8,20,42.95,0,1,0,0,1,0,0,1
8,22,43.29,0,1,0,0,1,0,0,1
8,24,43.63,0,1,0,0,1,0,0,1
8,26,43.98,0,1,0,0,1,0,0,1
8,28,44.32,0,1,0,0,1,0,0,1
8,30,44.66,0,1,0,0,1,0,0,1
8,32,44.92,0,1,0,0,1,0,0,1
8,34,45.18,0,1,0,0,1,0,0,1
8,36,45.61,0,1,0,0,1,0,0,1
8,38,45.95,0,1,0,0,1,0,0,1
